
EXAMPLE ILLUSTRATING THEOREM 3.5 FOR n=2

NOTATIONS:
π₁,π₂,π₃ are the three components of the vector partition of 9. [] denotes an empty partition.
ω(π)=(−1)^#(π₁)
c(π)=#(π₂)-#(π₃)          
s(π)=  ∑      (−1)ᵖp +   ∑      (−1)ᵖ⁺¹p +   ∑      (−1)ᵖ⁺¹p
      p∈π₁              p∈π₂                p∈π₃         



π₁                 π₂                                   π₃                                   ω(π)          c(π)          s(π)          c(π) mod 5          ω(π)s(π)
[3, 4]             [1]                                  [1]                                  1             0             3             0                   3
[2, 5]             [1]                                  [1]                                  1             0             -1            0                   -1
[1, 6]             [1]                                  [1]                                  1             0             7             0                   7
[7]                [1]                                  [1]                                  -1            0             -5            0                   5
[2, 3, 4]          []                                   []                                   -1            0             3             0                   -3
[1, 3, 5]          []                                   []                                   -1            0             -9            0                   9
[4, 5]             []                                   []                                   1             0             -1            0                   -1
[1, 2, 6]          []                                   []                                   -1            0             7             0                   -7
[3, 6]             []                                   []                                   1             0             3             0                   3
[2, 7]             []                                   []                                   1             0             -5            0                   -5
[1, 8]             []                                   []                                   1             0             7             0                   7
[9]                []                                   []                                   -1            0             -9            0                   9


Mᵥ(0, 5, n) =                    Σ                               ω(π)s(π) =                                                                                30
                                π∈V
                               |π|=n
                               c(π)≡0 (mod 5)


[]                 []                                   [1, 1, 1, 1, 1, 1, 1, 1, 1]          1             -9            9             1                   9
[]                 []                                   [2, 2, 2, 3]                         1             -4            -3            1                   -3
[]                 []                                   [1, 2, 3, 3]                         1             -4            5             1                   5
[]                 []                                   [1, 2, 2, 4]                         1             -4            -7            1                   -7
[]                 []                                   [1, 1, 3, 4]                         1             -4            1             1                   1
[]                 []                                   [1, 1, 2, 5]                         1             -4            5             1                   5
[]                 []                                   [1, 1, 1, 6]                         1             -4            -3            1                   -3
[]                 [1]                                  [1, 1, 2, 2, 2]                      1             -4            -3            1                   -3
[]                 [1]                                  [1, 1, 1, 2, 3]                      1             -4            5             1                   5
[]                 [1]                                  [1, 1, 1, 1, 4]                      1             -4            1             1                   1
[]                 [1, 1]                               [1, 1, 1, 1, 1, 2]                   1             -4            5             1                   5
[]                 [1, 1]                               [7]                                  1             1             9             1                   9
[]                 [2]                                  [1, 1, 1, 2, 2]                      1             -4            -3            1                   -3
[]                 [2]                                  [1, 1, 1, 1, 3]                      1             -4            5             1                   5
[]                 [1, 1, 1]                            [3, 3]                               1             1             9             1                   9
[]                 [1, 1, 1]                            [2, 4]                               1             1             -3            1                   -3
[]                 [1, 1, 1]                            [1, 5]                               1             1             9             1                   9
